epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.809,1.60921,2.93617,1.51594,0.47852,0.38999,0.37187,0.17017,1.57669,17.5875,1.42652,0.00332715,0.00332715,0.00332715
2,357.761,1.61524,2.0312,1.48743,0.51116,0.40123,0.41733,0.19523,1.6087,3.34423,1.4066,0.00659454,0.00659454,0.00659454
3,536.625,1.70842,1.8857,1.55137,0.4242,0.36468,0.31328,0.13774,1.84819,28.0067,1.67448,0.00979594,0.00979594,0.00979594
4,701.86,1.75623,1.88562,1.60559,0.34962,0.28853,0.23523,0.1027,1.92266,23.2293,1.78768,0.009703,0.009703,0.009703
5,873.136,1.69382,1.75583,1.56113,0.56203,0.4897,0.50119,0.24224,1.58989,4.85901,1.44475,0.009604,0.009604,0.009604
6,1043.7,1.64788,1.63534,1.52097,0.57294,0.49905,0.51026,0.24907,1.60767,6.954,1.44709,0.009505,0.009505,0.009505
7,1209.85,1.60483,1.57105,1.49684,0.5348,0.46527,0.47583,0.22692,1.58128,4.44969,1.40506,0.009406,0.009406,0.009406
8,1378.1,1.58484,1.5396,1.47712,0.58908,0.53685,0.56143,0.28422,1.52449,4.71137,1.3983,0.009307,0.009307,0.009307
9,1546.87,1.57066,1.49667,1.46659,0.61571,0.53907,0.57644,0.28713,1.52244,2.61859,1.35484,0.009208,0.009208,0.009208
10,1713.2,1.5492,1.46345,1.44886,0.62873,0.56909,0.61058,0.31959,1.46823,3.12896,1.33763,0.009109,0.009109,0.009109
11,1880.02,1.5389,1.42199,1.43981,0.64102,0.55876,0.61523,0.32495,1.46195,3.1079,1.29352,0.00901,0.00901,0.00901
12,2045.94,1.51754,1.40255,1.42369,0.64566,0.58373,0.63403,0.33917,1.4513,3.0836,1.29738,0.008911,0.008911,0.008911
13,2211.65,1.50812,1.3802,1.42395,0.65696,0.58034,0.63749,0.34393,1.42808,2.00311,1.30643,0.008812,0.008812,0.008812
14,2378.05,1.50993,1.37742,1.42299,0.64163,0.56894,0.62641,0.33567,1.44819,2.63244,1.29517,0.008713,0.008713,0.008713
15,2545.12,1.47778,1.33016,1.40108,0.67758,0.61257,0.66463,0.36038,1.41369,3.7131,1.27459,0.008614,0.008614,0.008614
16,2711.65,1.47645,1.33757,1.39953,0.68793,0.60082,0.66999,0.3669,1.38962,2.60163,1.25424,0.008515,0.008515,0.008515
17,2877.5,1.47796,1.32403,1.39509,0.69192,0.60361,0.67656,0.36621,1.40456,2.77724,1.26591,0.008416,0.008416,0.008416
18,3041.91,1.46517,1.29592,1.38725,0.69382,0.62196,0.68501,0.37469,1.39197,1.98756,1.25507,0.008317,0.008317,0.008317
19,3206.39,1.45785,1.29245,1.38245,0.67079,0.62993,0.68201,0.37539,1.37206,2.71053,1.2465,0.008218,0.008218,0.008218
20,3370.05,1.44997,1.2792,1.37969,0.68626,0.62231,0.68631,0.37947,1.37745,1.59593,1.23218,0.008119,0.008119,0.008119
21,3534.28,1.43804,1.2517,1.37536,0.71863,0.6389,0.7081,0.39774,1.35535,1.59697,1.23576,0.00802,0.00802,0.00802
22,3699.33,1.43299,1.24025,1.36446,0.6964,0.64227,0.70448,0.39086,1.3682,2.47727,1.24413,0.007921,0.007921,0.007921
23,3864.39,1.43138,1.23607,1.36488,0.72586,0.63517,0.70774,0.3949,1.34178,1.52244,1.21703,0.007822,0.007822,0.007822
24,4028.4,1.42341,1.22605,1.3551,0.7086,0.65181,0.71167,0.40002,1.33553,1.94816,1.22064,0.007723,0.007723,0.007723
25,4193.36,1.42133,1.22193,1.36048,0.71197,0.6531,0.71742,0.40501,1.35103,1.7822,1.22967,0.007624,0.007624,0.007624
26,4357.74,1.41412,1.21032,1.35649,0.71031,0.65483,0.71975,0.40786,1.33194,1.71152,1.21042,0.007525,0.007525,0.007525
27,4521.39,1.41448,1.20492,1.34829,0.72364,0.66046,0.72827,0.41157,1.33569,1.72783,1.21353,0.007426,0.007426,0.007426
28,4686.14,1.39628,1.18484,1.34603,0.73774,0.67161,0.73584,0.4162,1.31024,1.65422,1.2022,0.007327,0.007327,0.007327
29,4851.4,1.40705,1.1858,1.3475,0.73106,0.66648,0.73436,0.41696,1.30188,1.55316,1.19305,0.007228,0.007228,0.007228
30,5015.68,1.39932,1.17042,1.33815,0.73264,0.6723,0.74164,0.42046,1.30318,1.61948,1.19103,0.007129,0.007129,0.007129
31,5179.44,1.38342,1.15673,1.32828,0.72758,0.66584,0.73455,0.42018,1.30076,1.62913,1.19423,0.00703,0.00703,0.00703
32,5342.52,1.38659,1.15619,1.33739,0.73152,0.67914,0.74272,0.42451,1.30644,1.59488,1.19944,0.006931,0.006931,0.006931
